"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Parks, Sam","2025",4,4,4,1.198,1.198
"Miles, Parker","2025",17,17,13,1.144,1.497
"Roossien, Jace","2026",34,32,24,0.907,1.227
"Hall, Nathan","2024",14,12,12,0.896,0.931
"Strmecki, Henry","2021",32,28,26,0.882,0.979
"Baumgardt, Simon","2021",23,21,21,0.856,0.872
"Sahler, Clan","2023",9,9,9,0.851,0.851
"Hawes, Kyle","2021",4,4,4,0.826,0.826
"pagliarini, Charlie","2021",12,10,4,0.791,2.028
"Barnum, Lewis","2021",33,27,21,0.783,1.034
"Felder, Ross","2025",9,9,9,0.777,0.777
"Shapiro, Collin","2021",21,17,15,0.754,0.872
"Guerrero, Antonio","2022",18,18,18,0.748,0.748
"Jackson, Jadyn","2021",8,8,8,0.748,0.748
"Arroyo, Chris","2024",12,8,8,0.724,0.741
"Gaspard, Jackson","2024",6,4,4,0.72,0.734
"McCommons, McDonald","2024",42,31,29,0.713,0.771
"Smith, Spencer","2022",12,12,10,0.708,0.849
"Ross, Michael","2022",25,25,21,0.699,0.832
"Finn, Sean","2024",16,16,16,0.696,0.696
"Bak, Tyler","2025",85,69,63,0.692,0.758
"Lomuscio, Joseph","2021",44,42,34,0.681,0.84
"D'Onofrio, Anthony","2021",25,19,19,0.675,0.67
"Franzoni, Luke","2021",62,60,40,0.673,1.009
"Christofore, David","2022",21,19,17,0.662,0.736
"Becchetti, Michael","2022",10,10,6,0.651,1.085
"Snyder, Dan","2023",22,14,8,0.635,1.058
"Vargas, Xavier","2021",21,21,15,0.628,0.88
"LaPlante, Mason","2022",38,34,34,0.626,0.619
"Keys, Sean","2024",10,8,8,0.62,0.603
"Brown, Michael","2021",16,16,14,0.614,0.702
"Ashford, Ryan","2025",4,4,4,0.6,0.6
"Malone, John","2025",24,20,12,0.594,0.958
"Zarillo, Michael","2024",18,8,4,0.594,0.946
"Ali, Marco","2024",15,15,11,0.593,0.808
"Schuyler, T.J.","2024",21,19,19,0.591,0.581
"Ciaglo, Andrew","2025",12,8,8,0.586,0.533
"Robinett, Reese","2024",531,473,389,0.583,0.699
"Samek, Aries","2022",16,13,9,0.581,0.802
"Purcell, Joseph","2024",6,6,4,0.57,0.854
"Wachsmann, Isaac","2025",198,177,161,0.567,0.607
"Thomas, Hank","2021",21,17,15,0.565,0.608
"Lalime, Max","2025",28,28,24,0.564,0.657
"Kopack, Addison","2021",82,80,66,0.554,0.668
"Benevento, Alex","2026",199,167,144,0.553,0.615
"DAmore, Dante","2024",14,12,8,0.55,0.79
"Jensen, Max","2024",404,369,337,0.549,0.611
"Cimillo, Nick","2021",21,21,21,0.546,0.546
"Reese, Ripken","2025",531,474,412,0.542,0.617
"Cumming, Brendan","2021",107,104,96,0.538,0.578
"Laplante, Mason","2021",83,75,65,0.538,0.645
"Cimini, Vince","2021",33,31,29,0.536,0.562
"Huff, Kade","2023",14,14,12,0.534,0.622
"Corson, Jacob","2022",386,348,306,0.532,0.586
"Miller, Hayden","2024",172,160,128,0.531,0.648
"Angelo, Samuel","2024",205,169,135,0.53,0.662
"Rogers, JD","2023",22,22,20,0.53,0.583
"Hernandez, Jaylen","2026",50,45,42,0.529,0.548
"Michael Jefferson, David","2024",19,15,13,0.527,0.558
"Russell, Devin","2026",84,75,53,0.527,0.732
"Schreffler, Troy","2021",101,99,89,0.523,0.578
"Pacheco, DJ","2024",502,442,382,0.516,0.584
"Miller, Sam","2026",212,196,165,0.514,0.598
"Norris, Grant","2021",51,47,37,0.514,0.634
"Cap, Timothy","2025",10,10,8,0.513,0.641
"Bauerle, Pierce","2024",126,114,102,0.512,0.579
"Killelea, Jack","2025",42,40,32,0.512,0.628
"McDermott, Matt","2021",66,66,62,0.511,0.544
"Skarad, Joey","2022",320,292,240,0.511,0.6
"Burchfield, Walker","2021",21,21,17,0.509,0.628
"Martinez, Noah","2021",83,67,53,0.509,0.589
"Mercedes, Cristian","2022",324,282,220,0.508,0.617
"Grau, Turner","2021",31,31,27,0.507,0.582
"Zmarzlak, Bobby","2023",476,444,364,0.506,0.601
"Arnone, Griffin","2021",25,19,13,0.504,0.651
"Bucciero, Matt","2024",363,325,285,0.503,0.548
"Dieguez, Matthew","2025",32,30,24,0.502,0.612
"Tozzi, Domenico","2025",346,322,276,0.501,0.579
"Bramley, Thomas","2022",350,306,268,0.5,0.539
"Hughes, Logan","2024",335,316,288,0.5,0.546
"Jenkins, Andrew","2021",37,37,35,0.499,0.528
"Higgins, Marty","2021",124,120,102,0.498,0.579
"Oldham, Matt","2021",78,76,70,0.496,0.533
"Yaghoubi, Tank","2025",120,104,98,0.493,0.519
"Ignoffo, Ryan","2022",656,601,539,0.491,0.544
"Alifano, Matt","2022",330,296,270,0.49,0.512
"Love, James","2026",237,187,171,0.488,0.515
"Pelletier, Raphael","2021",49,46,42,0.488,0.52
"Schlaegel, Dylan","2025",73,57,49,0.488,0.501
"Schrader, Gavin","2024",10,8,8,0.488,0.437
"Harrison, Robert","2025",17,14,8,0.487,0.776
"Rice, Daniel","2026",10,7,6,0.487,0.466
"Barczi, Colin","2024",459,400,348,0.485,0.549
"Agresti, Adam","2025",188,169,157,0.483,0.504
"Baruch, Dan","2022",10,8,4,0.482,0.859
"Bianchina, Vincent","2024",10,10,8,0.482,0.603
"Jaconski, Joe","2024",624,541,475,0.482,0.523
"Szako, Brody","2024",294,249,201,0.482,0.55
"Tirado, Gabriel","2025",245,213,183,0.481,0.569
"Tackett, Sam","2023",554,488,396,0.48,0.564
"Spiegle, Josh","2022",16,12,12,0.479,0.408
"Staton, Garrett","2024",144,125,89,0.478,0.626
"Lambros, Elijah","2024",371,343,313,0.477,0.504
"Reynolds, Kolton","2025",249,204,177,0.477,0.496
"Taylor, Jackson","2026",159,132,113,0.477,0.507
"Hacopian, Christopher","2024",689,635,613,0.476,0.478
"Lovett, Jett","2022",291,261,229,0.476,0.515
"Cook, AJ","2022",20,14,8,0.475,0.67
